Type,PartId,PartName,MatTypeName,Elform,Thickness,NumElem,Density,YoungModulus
Shell,4,Grill,003 PLASTIC_KINEMATIC,2,0,144,7.8e-08,200000
Shell,5,Longeron (front),003 PLASTIC_KINEMATIC,2,0,672,7.8e-08,200000
Shell,2,Bumper,003 PLASTIC_KINEMATIC,2,0,528,7.8e-08,200000
Shell,3,Hood,003 PLASTIC_KINEMATIC,2,0,240,7.8e-08,200000
Shell,6,Longeron (rear),003 PLASTIC_KINEMATIC,2,0,160,7.8e-08,200000
Shell,7,Roof,003 PLASTIC_KINEMATIC,2,0,72,7.8e-08,200000
Shell,1,Body,003 PLASTIC_KINEMATIC,2,0,608,1e-07,200000
